V1 zone emitToast dispatches a literal => shell 15/0 | zone 35/1 | host 47/0 | static 7/0 | CAUGHT
V1b host emitToast dispatches a literal => shell 15/0 | zone 36/0 | host 45/2 | static 7/0 | CAUGHT
V1c zone emitToast drops the type => shell 15/0 | zone 35/1 | host 47/0 | static 7/0 | CAUGHT
SM1 write uses another key => shell 15/0 | zone 34/2 | host 47/0 | static 7/0 | CAUGHT
SM2 write does nothing => shell 15/0 | zone 34/2 | host 47/0 | static 7/0 | CAUGHT
SM3 read accepts entries without userId => shell 15/0 | zone 35/1 | host 47/0 | static 7/0 | CAUGHT
SM4 read lets storage errors escape => shell 15/0 | zone 34/2 | host 47/0 | static 7/0 | CAUGHT
DQ1 tab not validated => shell 15/0 | zone 35/1 | host 47/0 | static 7/0 | CAUGHT
DQ2 city not validated => shell 15/0 | zone 34/2 | host 47/0 | static 7/0 | CAUGHT
DQ3 filter ignored => shell 15/0 | zone 34/2 | host 47/0 | static 7/0 | CAUGHT
DQ4 city link uses query instead of path => shell 15/0 | zone 34/2 | host 47/0 | static 7/0 | CAUGHT
P1 page ignores the query => shell 15/0 | zone 35/1 | host 47/0 | static 7/0 | CAUGHT
P2 dashboard not rendered => shell 15/0 | zone 28/8 | host 47/0 | static 7/0 | CAUGHT
P3 tab nav removed => shell 15/0 | zone 33/3 | host 47/0 | static 7/0 | CAUGHT
T1 active tab not marked => shell 15/0 | zone 35/1 | host 47/0 | static 7/0 | CAUGHT
T2 filters not shown => shell 15/0 | zone 35/1 | host 47/0 | static 7/0 | CAUGHT
M1 map ignores the city => shell 15/0 | zone 35/1 | host 47/0 | static 7/0 | CAUGHT
RD1 dashboard drops the city => shell 15/0 | zone 35/1 | host 47/0 | static 7/0 | CAUGHT
C1 unknown city renders instead of 404 => shell 15/0 | zone 35/1 | host 47/0 | static 7/0 | CAUGHT
C2 path city ignored => shell 15/0 | zone 34/2 | host 47/0 | static 7/0 | CAUGHT
S1 SSE path without basePath => shell 15/0 | zone 35/1 | host 47/0 | static 7/0 | CAUGHT
U1 zone page stops passing onSessionChange => shell 15/0 | zone 35/1 | host 47/0 | static 7/0 | CAUGHT
X-TL telemetry uses a literal URL (effect, D10) => shell 15/0 | zone 36/0 | host 47/0 | static 7/0 | SURVIVED
P4 page stops calling writeMirroredSession => shell 15/0 | zone 35/1 | host 47/0 | static 7/0 | CAUGHT
