R1 guard restored => shell 15/0 | zone 17/0 | host 40/2 | static 7/0 | CAUGHT
R1b guard with trailing-slash fix only => shell 15/0 | zone 17/0 | host 41/1 | static 7/0 | CAUGHT
D1 select loses onChange => shell 14/1 | zone 17/0 | host 42/0 | static 7/0 | CAUGHT
D1b handler never calls onSessionChange => shell 14/1 | zone 17/0 | host 42/0 | static 7/0 | CAUGHT
D2 button needs onToastPing (declared defect) => shell 12/3 | zone 17/0 | host 42/0 | static 7/0 | CAUGHT
D2b fallback disabled => shell 14/1 | zone 17/0 | host 42/0 | static 7/0 | CAUGHT
D2c toast event literal diverges in emitToast => shell 14/1 | zone 17/0 | host 42/0 | static 7/0 | CAUGHT
D3 next/link-like anchor => shell 0/15 | zone 13/4 | host 34/8 | static fail:STATIC-03 | CAUGHT
D3c unused next/link import only => shell 14/1 | zone 17/0 | host 42/0 | static fail:STATIC-03 | CAUGHT
D4a href typo => shell 12/3 | zone 16/1 | host 42/0 | static fail:STATIC-03 | CAUGHT
D4b preventDefault on remote link => shell 14/1 | zone 17/0 | host 42/0 | static 7/0 | CAUGHT
D4d active class inverted => shell 13/2 | zone 16/1 | host 42/0 | static 7/0 | CAUGHT
D5a ToastContainer removed => shell 14/1 | zone 16/1 | host 42/0 | static 7/0 | CAUGHT
D5b {false && ToastContainer} => shell 14/1 | zone 16/1 | host 42/0 | static 7/0 | CAUGHT
D6 children dropped => shell 14/1 | zone 16/1 | host 39/3 | static 7/0 | CAUGHT
D13 activeRoute not passed => shell 14/1 | zone 16/1 | host 42/0 | static 7/0 | CAUGHT
D13b onSessionChange not passed => shell 14/1 | zone 17/0 | host 42/0 | static 7/0 | CAUGHT
D14 app-header class only in comment => shell 13/2 | zone 16/1 | host 42/0 | static 7/0 | CAUGHT
D7b zone emits under its own copy => shell 15/0 | zone 16/1 | host 42/0 | static 7/0 | CAUGHT
D7c host emits under its own equal copy => shell 15/0 | zone 17/0 | host 41/1 | static 7/0 | CAUGHT
D10b ServerCard only in a comment => shell 15/0 | zone 16/1 | host 42/0 | static 7/0 | CAUGHT
D12b host @import points at index.ts => shell 14/1 | zone 17/0 | host 42/0 | static 7/0 | CAUGHT
D12c remote extra broken @import => shell 14/1 | zone 17/0 | host 42/0 | static 7/0 | CAUGHT
Z1 zone page without ShellLayout => shell 15/0 | zone 14/3 | host 42/0 | static 7/0 | CAUGHT
Z2 zone marks shell home active => shell 15/0 | zone 16/1 | host 42/0 | static 7/0 | CAUGHT
CSS rendered class unstyled => shell 14/1 | zone 17/0 | host 42/0 | static 7/0 | CAUGHT
ST1 federation token in packages/ => shell 15/0 | zone 17/0 | host 42/0 | static fail:STATIC-01 | CAUGHT
X-D9 zone stops reading localStorage => shell 15/0 | zone 17/0 | host 42/0 | static 7/0 | SURVIVED
X-D9b zone stops writing localStorage => shell 15/0 | zone 17/0 | host 42/0 | static 7/0 | SURVIVED
X-D11 banner shows DEFAULT_SESSION => shell 15/0 | zone 17/0 | host 42/0 | static 7/0 | SURVIVED
X-TC listener on a literal name => shell 15/0 | zone 17/0 | host 42/0 | static 7/0 | SURVIVED
