BASE.lac.txt: ℹ pass 4 ℹ fail 1  ✖ G3: flash nas paginas do shell aparece uma vez e o apagamento vem com Secure;
CSP6a.lac.txt: ℹ pass 3 ℹ fail 2  ✖ G2: CSP do shell com form-action e img-src, inclusive em /login;✖ G3: flash nas paginas do shell aparece uma vez e o apagamento vem com Secure;
CSP6b.lac.txt: ℹ pass 3 ℹ fail 2  ✖ G2: CSP do shell com form-action e img-src, inclusive em /login;✖ G3: flash nas paginas do shell aparece uma vez e o apagamento vem com Secure;
F1-acesso.lac.txt: ℹ pass 4 ℹ fail 1  ✖ G3: flash nas paginas do shell aparece uma vez e o apagamento vem com Secure;
F1-shell.lac.txt: ℹ pass 4 ℹ fail 1  ✖ G3: flash nas paginas do shell aparece uma vez e o apagamento vem com Secure;
F1-zona2.lac.txt: ℹ pass 3 ℹ fail 2  ✖ G1: gestao de acesso fora nao entrega pagina de modulo na zona 2 nem na zona de acesso;✖ G3: flash nas paginas do shell aparece uma vez e o apagamento vem com Secure;
F8a.lac.txt: ℹ pass 5 ℹ fail 0  
M13.lac.txt: ℹ pass 3 ℹ fail 2  ✖ G3: flash nas paginas do shell aparece uma vez e o apagamento vem com Secure;✖ G5: zona fora: asset estatico dela tambem da 503 (a sonda vem antes do corte de asset);
M16.lac.txt: ℹ pass 4 ℹ fail 1  ✖ G3: flash nas paginas do shell aparece uma vez e o apagamento vem com Secure;
M17.lac.txt: ℹ pass 3 ℹ fail 2  ✖ G2: CSP do shell com form-action e img-src, inclusive em /login;✖ G3: flash nas paginas do shell aparece uma vez e o apagamento vem com Secure;
T4b2.lac.txt: ℹ pass 3 ℹ fail 2  ✖ G3: flash nas paginas do shell aparece uma vez e o apagamento vem com Secure;✖ G4: telemetria: nao-JSON da 400 e nao repassa; lote recusado por taxa nao repassa;
T4c.lac.txt: ℹ pass 3 ℹ fail 2  ✖ G3: flash nas paginas do shell aparece uma vez e o apagamento vem com Secure;✖ G4: telemetria: nao-JSON da 400 e nao repassa; lote recusado por taxa nao repassa;
BASE.uaud.txt: ℹ pass 6 ℹ fail 1  ✖ U7 (reviewer_shell_2 achado 2): id de zona com maiuscula e casado, ou recusado na carga;
C1a.uaud.txt: ℹ pass 6 ℹ fail 1  ✖ U7 (reviewer_shell_2 achado 2): id de zona com maiuscula e casado, ou recusado na carga;
CSP6a.uaud.txt: ℹ pass 6 ℹ fail 1  ✖ U7 (reviewer_shell_2 achado 2): id de zona com maiuscula e casado, ou recusado na carga;
CSP6b.uaud.txt: ℹ pass 6 ℹ fail 1  ✖ U7 (reviewer_shell_2 achado 2): id de zona com maiuscula e casado, ou recusado na carga;
F1-acesso.uaud.txt: ℹ pass 6 ℹ fail 1  ✖ U7 (reviewer_shell_2 achado 2): id de zona com maiuscula e casado, ou recusado na carga;
F1-shell.uaud.txt: ℹ pass 6 ℹ fail 1  ✖ U7 (reviewer_shell_2 achado 2): id de zona com maiuscula e casado, ou recusado na carga;
F1-zona2.uaud.txt: ℹ pass 6 ℹ fail 1  ✖ U7 (reviewer_shell_2 achado 2): id de zona com maiuscula e casado, ou recusado na carga;
F8a.uaud.txt: ℹ pass 6 ℹ fail 1  ✖ U7 (reviewer_shell_2 achado 2): id de zona com maiuscula e casado, ou recusado na carga;
M13.uaud.txt: ℹ pass 5 ℹ fail 2  ✖ U5 (M13): zona fora e asset estatico dela: 503, nao rewrite cru;✖ U7 (reviewer_shell_2 achado 2): id de zona com maiuscula e casado, ou recusado na carga;
M14b.uaud.txt: ℹ pass 5 ℹ fail 2  ✖ U4 (M14/M14b): zona travada e dada como fora em ~500 ms (timeout padrao da sonda);✖ U7 (reviewer_shell_2 achado 2): id de zona com maiuscula e casado, ou recusado na carga;
M14.uaud.txt: ℹ pass 5 ℹ fail 2  ✖ U4 (M14/M14b): zona travada e dada como fora em ~500 ms (timeout padrao da sonda);✖ U7 (reviewer_shell_2 achado 2): id de zona com maiuscula e casado, ou recusado na carga;
M15.uaud.txt: ℹ pass 5 ℹ fail 2  ✖ U3 (M15): status >= 500 conta como fora;✖ U7 (reviewer_shell_2 achado 2): id de zona com maiuscula e casado, ou recusado na carga;
