R1 guard restored => shell 15/0 | zone 17/0 | host 43/3 | static 7/0 | CAUGHT
R1b guard with trailing-slash fix only => shell 15/0 | zone 17/0 | host 44/2 | static 7/0 | CAUGHT
D1 select loses onChange => shell 14/1 | zone 17/0 | host 46/0 | static 7/0 | CAUGHT
D1b handler never calls onSessionChange => shell 14/1 | zone 17/0 | host 46/0 | static 7/0 | CAUGHT
D2 button needs onToastPing (declared defect) => shell 12/3 | zone 17/0 | host 46/0 | static 7/0 | CAUGHT
D2b fallback disabled => shell 14/1 | zone 17/0 | host 46/0 | static 7/0 | CAUGHT
D2c toast event literal diverges in emitToast => shell 14/1 | zone 17/0 | host 46/0 | static 7/0 | CAUGHT
D3 next/link-like anchor => shell 0/15 | zone 13/4 | host 35/11 | static fail:STATIC-03 | CAUGHT
D3c unused next/link import only => shell 14/1 | zone 17/0 | host 46/0 | static fail:STATIC-03 | CAUGHT
D4a href typo => shell 12/3 | zone 16/1 | host 45/1 | static fail:STATIC-03 | CAUGHT
D4b preventDefault on remote link => shell 14/1 | zone 17/0 | host 46/0 | static 7/0 | CAUGHT
D4d active class inverted => shell 13/2 | zone 16/1 | host 45/1 | static 7/0 | CAUGHT
D5a ToastContainer removed => shell 14/1 | zone 16/1 | host 46/0 | static 7/0 | CAUGHT
D5b {false && ToastContainer} => shell 14/1 | zone 16/1 | host 46/0 | static 7/0 | CAUGHT
D6 children dropped => shell 14/1 | zone 16/1 | host 42/4 | static 7/0 | CAUGHT
D13 activeRoute not passed => shell 14/1 | zone 16/1 | host 46/0 | static 7/0 | CAUGHT
D13b onSessionChange not passed => shell 14/1 | zone 17/0 | host 46/0 | static 7/0 | CAUGHT
D14 app-header class only in comment => shell 13/2 | zone 16/1 | host 45/1 | static 7/0 | CAUGHT
D7b zone emits under its own copy => shell 15/0 | zone 16/1 | host 46/0 | static 7/0 | CAUGHT
D7c host emits under its own equal copy => shell 15/0 | zone 17/0 | host 45/1 | static 7/0 | CAUGHT
D10b ServerCard only in a comment => shell 15/0 | zone 16/1 | host 46/0 | static 7/0 | CAUGHT
D12b host @import points at index.ts => shell 14/1 | zone 17/0 | host 46/0 | static 7/0 | CAUGHT
D12c remote extra broken @import => shell 14/1 | zone 17/0 | host 46/0 | static 7/0 | CAUGHT
Z1 zone page without ShellLayout => shell 15/0 | zone 14/3 | host 46/0 | static 7/0 | CAUGHT
Z2 zone marks shell home active => shell 15/0 | zone 16/1 | host 46/0 | static 7/0 | CAUGHT
CSS rendered class unstyled => shell 14/1 | zone 17/0 | host 46/0 | static 7/0 | CAUGHT
ST1 federation token in packages/ => shell 15/0 | zone 17/0 | host 46/0 | static fail:STATIC-01 | CAUGHT
X-D9 zone stops reading localStorage => shell 15/0 | zone 17/0 | host 46/0 | static 7/0 | SURVIVED
X-D9b zone stops writing localStorage => shell 15/0 | zone 17/0 | host 46/0 | static 7/0 | SURVIVED
X-D11 banner shows DEFAULT_SESSION => shell 15/0 | zone 17/0 | host 46/0 | static 7/0 | SURVIVED
X-TC listener on a literal name => shell 15/0 | zone 17/0 | host 46/0 | static 7/0 | SURVIVED
U1 zone selector handler not passed (declared D10) => shell 15/0 | zone 17/0 | host 46/0 | static 7/0 | SURVIVED
U2 HostLayout drops onSessionChange => shell 15/0 | zone 17/0 | host 45/1 | static 7/0 | CAUGHT
U3 HostLayout drops onToastPing and onNavigate => shell 15/0 | zone 17/0 | host 45/1 | static 7/0 | CAUGHT
U3b HostLayout ping emits nothing => shell 15/0 | zone 17/0 | host 45/1 | static 7/0 | CAUGHT
U4 host page marks the zone active => shell 15/0 | zone 17/0 | host 45/1 | static 7/0 | CAUGHT
U5 host page without chrome => shell 15/0 | zone 17/0 | host 45/1 | static 7/0 | CAUGHT
U6 HostLayout drops children => shell 15/0 | zone 17/0 | host 41/5 | static 7/0 | CAUGHT
F2a guard for /erro-de-zona and /_next => shell 15/0 | zone 17/0 | host 45/1 | static 7/0 | CAUGHT
F2b guard for .ico => shell 15/0 | zone 17/0 | host 45/1 | static 7/0 | CAUGHT
F2c guard on request.url => shell 15/0 | zone 17/0 | host 44/2 | static 7/0 | CAUGHT
F4 import escapes the package => shell 14/1 | zone 17/0 | host 46/0 | static 7/0 | CAUGHT
F5 class styled only in a comment => shell 14/1 | zone 17/0 | host 46/0 | static 7/0 | CAUGHT
F5b class styled only by a longer selector => shell 14/1 | zone 17/0 | host 46/0 | static 7/0 | CAUGHT
F5c @import commented out in host CSS => shell 14/1 | zone 17/0 | host 46/0 | static 7/0 | CAUGHT
HARMLESS fragment around the nav list => shell 15/0 | zone 17/0 | host 46/0 | static 7/0 | SURVIVED
HARMLESS className without trailing space => shell 15/0 | zone 17/0 | host 46/0 | static 7/0 | SURVIVED
